run_id,algorithm,nodes,edges,source_node,target_node,time_sec,memory_peak_mb,energy_joules,cpu_energy_joules,path_found,path_length
4,A_Star,5000,25000,2170,1623,0.02197432518005371,0.29761505126953125,0.31879371743513785,0.08551371762393552,True,7
5,Dijkstra,5000,25000,1616,968,0.056998491287231445,1.0393180847167969,0.8026038704934446,0.21734886928749356,True,6
5,Bellman-Ford,5000,25000,1616,968,0.28099560737609863,1.6888885498046875,8.237397204818627,0.7925682046585294,True,6
5,A_Star,5000,25000,1616,968,0.00709843635559082,0.29347705841064453,0.11925068471208215,0.03879268440976739,True,6
6,Dijkstra,5000,25000,2744,1806,0.12407088279724121,1.3528366088867188,1.681494082275524,0.42267308379311797,True,8
6,Bellman-Ford,5000,25000,2744,1806,0.31409263610839844,1.7083072662353516,7.977013402949109,0.5502894044434864,True,8
6,A_Star,5000,25000,2744,1806,0.08499717712402344,1.0727577209472656,1.1634710123802705,0.28986501228466466,True,8
7,Dijkstra,5000,25000,4076,4778,0.10298275947570801,1.32586669921875,1.4634882745664906,0.41623227469216684,True,7
7,Bellman-Ford,5000,25000,4076,4778,0.28202223777770996,1.68975830078125,7.978912689203905,0.5841426895396278,True,7
7,A_Star,5000,25000,4076,4778,0.047998666763305664,0.6857490539550781,0.6457460614374246,0.14841606034770272,True,7
8,Dijkstra,5000,25000,2175,1315,0.11609411239624023,1.3353614807128906,1.570180997580544,0.39877499765928165,True,5
8,Bellman-Ford,5000,25000,2175,1315,0.27600789070129395,1.6877517700195312,7.982434686397371,0.6228426891688087,True,5
8,A_Star,5000,25000,2175,1315,0.08400845527648926,1.042327880859375,1.1351493472786283,0.28432334834650497,True,5
9,Dijkstra,5000,25000,1987,4103,0.0919804573059082,1.1969642639160156,1.2768535795956426,0.336138579562264,True,10
9,Bellman-Ford,5000,25000,1987,4103,0.29199743270874023,1.6925525665283203,7.96503756045491,0.622411564356986,True,10
9,A_Star,5000,25000,1987,4103,0.04205441474914551,0.6103019714355469,0.5859819108151451,0.15321690891837617,True,10
10,Dijkstra,5000,25000,1314,245,0.07898736000061035,1.1924171447753906,1.0808140592590947,0.27024506069133486,True,8
10,Bellman-Ford,5000,25000,1314,245,0.2770090103149414,1.7075519561767578,7.514899760275572,0.4656137603106485,True,8
10,A_Star,5000,25000,1314,245,0.019910812377929688,0.29436492919921875,0.2844927424823188,0.07155274388168685,True,8
11,Dijkstra,5000,25000,4974,3581,0.1281113624572754,1.3548011779785156,3.014067668186924,0.39629666665425023,True,10
11,Bellman-Ford,5000,25000,4974,3581,0.2709963321685791,1.7078609466552734,7.352826120803895,0.4816381218906661,True,10
11,A_Star,5000,25000,4974,3581,0.07700681686401367,1.017578125,1.0349294122099366,0.2547664123378186,True,10
12,Dijkstra,5000,25000,1526,1315,0.13001060485839844,1.3407249450683594,3.1249710765936287,0.45898907466687866,True,5
12,Bellman-Ford,5000,25000,1526,1315,0.5240955352783203,1.5860881805419922,13.754948521178978,1.1488345187686553,True,5
12,A_Star,5000,25000,1526,1315,0.11504650115966797,1.3142738342285156,1.7785653213550423,0.6119793208827349,True,5
13,Dijkstra,5000,25000,4628,2888,0.11508893966674805,1.4677505493164062,1.9633612190402874,0.7992942179582846,True,5
13,Bellman-Ford,5000,25000,4628,2888,0.2921183109283447,1.6882705688476562,7.753255380440271,0.4582703827244694,True,5
13,A_Star,5000,25000,4628,2888,0.05800938606262207,0.8379936218261719,0.788687871868976,0.19534387309781528,True,5
14,Dijkstra,5000,25000,2593,2890,0.13399219512939453,1.3538436889648438,3.1493728501511615,0.3998248475393154,True,6
14,Bellman-Ford,5000,25000,2593,2890,0.2830958366394043,1.7073497772216797,7.587005038572898,0.4926170397684486,True,6
14,A_Star,5000,25000,2593,2890,0.10709810256958008,1.2035064697265625,1.4617343785692092,0.37508637909629305,True,6
15,Dijkstra,5000,25000,2316,4343,0.04299783706665039,0.9172439575195312,0.5899834084953182,0.13988040962023662,True,6
15,Bellman-Ford,5000,25000,2316,4343,0.25710535049438477,1.7036991119384766,4.3753249938477,0.42937599540391774,True,6
15,A_Star,5000,25000,2316,4343,0.009004592895507812,0.2950592041015625,0.1683840443679682,0.06361704406529582,True,6
16,Dijkstra,5000,25000,3722,3221,0.11301493644714355,1.2123031616210938,1.4758309949600052,0.3376629966721786,True,8
16,Bellman-Ford,5000,25000,3722,3221,0.28490114212036133,1.6869430541992188,7.548214448106538,0.4109504511142784,True,8
16,A_Star,5000,25000,3722,3221,0.027005672454833984,0.3621788024902344,0.3719337520300496,0.08948775037369609,True,8
17,Dijkstra,5000,25000,2969,3846,0.042006492614746094,0.8513031005859375,0.5829205491292206,0.1433305499787358,True,6
17,Bellman-Ford,5000,25000,2969,3846,0.30401182174682617,1.6873626708984375,7.605686433940534,0.39832743755668737,True,6
17,A_Star,5000,25000,2969,3846,0.007007122039794922,0.29390716552734375,0.1095885840167334,0.031157584015004836,True,6
18,Dijkstra,5000,25000,768,1955,0.08309292793273926,1.1893806457519531,1.111166354397862,0.2569603530118157,True,5
18,Bellman-Ford,5000,25000,768,1955,0.29700636863708496,1.706460952758789,8.579531601762957,1.2107496020780877,True,5
18,A_Star,5000,25000,768,1955,0.03101325035095215,0.3938446044921875,0.47525759097209874,0.15651759002378884,True,5
19,Dijkstra,5000,25000,1722,3314,0.10890746116638184,1.3279380798339844,1.4917724826898935,0.38598448183057327,True,6
19,Bellman-Ford,5000,25000,1722,3314,0.26610326766967773,1.6888256072998047,7.177494361468951,0.46400736079866667,True,6
